scenario_short_code,tier_short_code,location_type,location_id,location_name,tier_level,tier_value,display_order
s0011,AG_REV,demand_unit,64_PA,,4,,94
s0020,AG_REV,demand_unit,02_NA,,1,,1
s0020,AG_REV,demand_unit,02_PA,,1,,2
s0020,AG_REV,demand_unit,02_SA,,1,,3
s0020,AG_REV,demand_unit,03_NA,,1,,4
s0020,AG_REV,demand_unit,03_PA,,1,,5
s0020,AG_REV,demand_unit,03_SA,,1,,6
s0020,AG_REV,demand_unit,04_NA,,1,,7
s0020,AG_REV,demand_unit,04_PA1,,1,,8
s0020,AG_REV,demand_unit,04_PA2,,1,,9
s0020,AG_REV,demand_unit,05_NA,,1,,10
s0020,AG_REV,demand_unit,06_NA,,1,,11
s0020,AG_REV,demand_unit,06_PA,,1,,12
s0020,AG_REV,demand_unit,07N_NA,,1,,13
s0020,AG_REV,demand_unit,07N_PA,,1,,14
s0020,AG_REV,demand_unit,07S_NA,,1,,15
s0020,AG_REV,demand_unit,08N_NA,,1,,16
s0020,AG_REV,demand_unit,08N_PA,,1,,17
s0020,AG_REV,demand_unit,08N_SA1,,1,,18
s0020,AG_REV,demand_unit,08N_SA2,,1,,19
s0020,AG_REV,demand_unit,08S_NA1,,1,,20
s0020,AG_REV,demand_unit,08S_NA2,,1,,21
s0020,AG_REV,demand_unit,08S_PA,,1,,22
s0020,AG_REV,demand_unit,08S_SA1,,1,,23
s0020,AG_REV,demand_unit,08S_SA2,,1,,24
s0020,AG_REV,demand_unit,08S_SA3,,1,,25
s0020,AG_REV,demand_unit,09_NA,,1,,26
s0020,AG_REV,demand_unit,09_SA1,,1,,27
s0020,AG_REV,demand_unit,09_SA2,,1,,28
s0020,AG_REV,demand_unit,10_NA1,,1,,29
s0020,AG_REV,demand_unit,10_NA2,,1,,30
s0020,AG_REV,demand_unit,10_SA1,,1,,31
s0020,AG_REV,demand_unit,10_SA2,,1,,32
s0020,AG_REV,demand_unit,10_SA3,,1,,33
s0020,AG_REV,demand_unit,11_NA,,1,,34
s0020,AG_REV,demand_unit,11_PA,,1,,35
s0020,AG_REV,demand_unit,11_SA1,,1,,36
s0020,AG_REV,demand_unit,11_SA2,,1,,37
s0020,AG_REV,demand_unit,11_SA3,,1,,38
s0020,AG_REV,demand_unit,12_NA,,1,,39
s0020,AG_REV,demand_unit,12_SA,,1,,40
s0020,AG_REV,demand_unit,13_NA,,1,,41
s0020,AG_REV,demand_unit,13_SA1,,1,,42
s0020,AG_REV,demand_unit,13_SA2,,1,,43
s0020,AG_REV,demand_unit,14_PA,,2,,44
s0020,AG_REV,demand_unit,15N_NA,,2,,45
s0020,AG_REV,demand_unit,15N_SA1,,1,,46
s0020,AG_REV,demand_unit,15N_SA2,,1,,47
s0020,AG_REV,demand_unit,15S_NA,,1,,48
s0020,AG_REV,demand_unit,15S_SA1,,1,,49
s0020,AG_REV,demand_unit,15S_SA2,,2,,50
s0020,AG_REV,demand_unit,16_SA1,,3,,51
s0020,AG_REV,demand_unit,16_SA2,,3,,52
s0020,AG_REV,demand_unit,17N_SA1,,3,,53
s0020,AG_REV,demand_unit,17N_SA2,,3,,54
s0020,AG_REV,demand_unit,17N_SA3,,1,,55
s0020,AG_REV,demand_unit,17S_NA,,2,,56
s0020,AG_REV,demand_unit,17S_SA1,,1,,57
s0020,AG_REV,demand_unit,17S_SA2,,1,,58
s0020,AG_REV,demand_unit,18_NA,,2,,59
s0020,AG_REV,demand_unit,19_PA1,,4,,60
s0020,AG_REV,demand_unit,19_PA2,,4,,61
s0020,AG_REV,demand_unit,19_PA3,,4,,62
s0020,AG_REV,demand_unit,20_SA,,2,,63
s0020,AG_REV,demand_unit,21_NA,,2,,64
s0020,AG_REV,demand_unit,21_SA1,,2,,65
s0020,AG_REV,demand_unit,21_SA2,,2,,66
s0020,AG_REV,demand_unit,21_SA3,,2,,67
s0020,AG_REV,demand_unit,22_PA,,2,,68
s0020,AG_REV,demand_unit,22_SA1,,1,,69
s0020,AG_REV,demand_unit,22_SA2,,2,,70
s0020,AG_REV,demand_unit,22_SA3,,2,,71
s0020,AG_REV,demand_unit,22_SA4,,2,,72
s0020,AG_REV,demand_unit,22_SA5,,2,,73
s0020,AG_REV,demand_unit,23_PA,,2,,74
s0020,AG_REV,demand_unit,25_PA,,4,,75
s0020,AG_REV,demand_unit,60N_NA1,,2,,76
s0020,AG_REV,demand_unit,60N_NA2,,2,,77
s0020,AG_REV,demand_unit,60N_PA,,2,,78
s0020,AG_REV,demand_unit,60N_SA1,,1,,79
s0020,AG_REV,demand_unit,60N_SA2,,2,,80
s0020,AG_REV,demand_unit,60N_SA3,,1,,81
s0020,AG_REV,demand_unit,60N_SA4,,2,,82
s0020,AG_REV,demand_unit,60N_SA5,,2,,83
s0020,AG_REV,demand_unit,60S_NA1,,2,,84
s0020,AG_REV,demand_unit,60S_NA2,,4,,85
s0020,AG_REV,demand_unit,60S_PA1,,4,,86
s0020,AG_REV,demand_unit,60S_PA2,,4,,87
s0020,AG_REV,demand_unit,60S_SA1,,4,,88
s0020,AG_REV,demand_unit,60S_SA2,,4,,89
s0020,AG_REV,demand_unit,60S_SA3,,1,,90
s0020,AG_REV,demand_unit,61_NA,,4,,91
s0020,AG_REV,demand_unit,61_PA1,,4,,92
s0020,AG_REV,demand_unit,61_PA2,,4,,93
s0020,AG_REV,demand_unit,64_PA,,4,,94
s0021,AG_REV,demand_unit,02_NA,,1,,1
s0021,AG_REV,demand_unit,02_PA,,1,,2
s0021,AG_REV,demand_unit,02_SA,,1,,3
s0021,AG_REV,demand_unit,03_NA,,1,,4
s0021,AG_REV,demand_unit,03_PA,,1,,5
s0021,AG_REV,demand_unit,03_SA,,1,,6
s0021,AG_REV,demand_unit,04_NA,,1,,7
s0021,AG_REV,demand_unit,04_PA1,,1,,8
s0021,AG_REV,demand_unit,04_PA2,,1,,9
s0021,AG_REV,demand_unit,05_NA,,1,,10
s0021,AG_REV,demand_unit,06_NA,,1,,11
s0021,AG_REV,demand_unit,06_PA,,1,,12
s0021,AG_REV,demand_unit,07N_NA,,1,,13
s0021,AG_REV,demand_unit,07N_PA,,1,,14
s0021,AG_REV,demand_unit,07S_NA,,1,,15
s0021,AG_REV,demand_unit,08N_NA,,1,,16
s0021,AG_REV,demand_unit,08N_PA,,1,,17
s0021,AG_REV,demand_unit,08N_SA1,,1,,18
s0021,AG_REV,demand_unit,08N_SA2,,1,,19
s0021,AG_REV,demand_unit,08S_NA1,,1,,20
